Method,Threshold,M1_Confidence,M1_Entropy,M2_Confidence,M2_Entropy,M3_Confidence,M3_Entropy
eigen_cam,0.1,0.7403631,0.0023940904,0.53926724,0.0044677057,0.8997465,0.0016711452
eigen_cam,0.2,0.8922605,0.0013681564,0.17039198,0.0031096833,0.85513586,0.0021674458
eigen_cam,0.3,0.9072698,0.0012817958,0.03629456,0.0006703797,0.7491839,0.003355765
eigen_cam,0.4,0.91334516,0.001313591,0.00075072795,0.00014991088,0.57634234,0.0031135972
eigen_cam,0.5,0.913398,0.0014074678,0.002768423,0.000170927,0.44989395,0.0029608174
score_cam,0.1,0.018957132,0.0007374012,0.8583799,0.0014874104,0.90151596,0.0013200911
score_cam,0.2,0.19194019,0.0017991221,0.68787616,0.0023909826,0.87263006,0.0013032791
score_cam,0.3,0.6193754,0.0027037612,0.32597408,0.0023273588,0.8225428,0.0018352552
score_cam,0.4,0.84837353,0.0020986975,0.085603796,0.0014313852,0.6659111,0.0020904585
score_cam,0.5,0.8816489,0.001711999,0.17265767,0.0014085069,0.53373736,0.0020496333
grad_cam,0.1,0.9503808,0.0011364084,0.4821939,0.0029529482,0.6785671,0.0021009927
grad_cam,0.2,0.917543,0.0017558795,0.055840496,0.00070618186,0.18127619,0.0026655258
grad_cam,0.3,0.8834161,0.0020435182,0.12757188,0.001356622,0.05174344,0.001335432
grad_cam,0.4,0.8804555,0.0020837712,0.23861775,0.0017481018,0.03429066,0.0011590685
grad_cam,0.5,0.89032346,0.0019733547,0.40393448,0.0037908836,0.03283247,0.0011022888
grad_cam_pp,0.1,0.052841723,0.0012103948,0.90808284,0.0013357096,0.90808284,0.0013357096
grad_cam_pp,0.2,0.33634618,0.004796031,0.8718536,0.0013519541,0.8753346,0.0013421257
grad_cam_pp,0.3,0.92902565,0.001698982,0.31105497,0.0014098192,0.5513351,0.0028597366
grad_cam_pp,0.4,0.8924681,0.001824269,0.13356957,0.001783985,0.13053186,0.0021224457
grad_cam_pp,0.5,0.88894814,0.0018085147,0.25304645,0.0013238651,0.03537458,0.0011293788
x_grad_cam,0.1,0.85496503,0.0023352052,0.7669746,0.0023951246,0.82207996,0.0019615646
x_grad_cam,0.2,0.9338034,0.0013653252,0.15779188,0.0010850992,0.32212865,0.0025565305
x_grad_cam,0.3,0.89738137,0.0017935642,0.10444359,0.0017244812,0.06629488,0.0012359099
x_grad_cam,0.4,0.8840403,0.0021126703,0.20064692,0.0011920435,0.036861707,0.0012250058
x_grad_cam,0.5,0.8875636,0.0019808216,0.38771504,0.0023487774,0.033637486,0.0011026984
