Method,Threshold,Baseline_Confidence,Baseline_Entropy,M1_Confidence,M1_Entropy,M2_Confidence,M2_Entropy,M3_Confidence,M3_Entropy
eigen_cam,0.1,0.9124947,0.007835724,0.91113496,0.0014518829,0.20705707,0.0030099114,0.1470831,0.0021631687
eigen_cam,0.2,0.9124947,0.007835724,0.9117536,0.0013859107,0.575863,0.0054398295,0.059527468,0.0015784538
eigen_cam,0.3,0.9124947,0.007835724,0.91074085,0.0014377171,0.59614265,0.005519961,0.054793898,0.0016188705
eigen_cam,0.4,0.9124947,0.007835724,0.91113746,0.0014116871,0.65641797,0.005554923,0.042778995,0.0013071067
eigen_cam,0.5,0.9124947,0.007835724,0.9117243,0.0013885964,0.73176897,0.005592833,0.035469223,0.0012246285
grad_cam,0.1,0.9124947,0.007835724,0.87846255,0.0021501544,0.16122991,0.000952117,0.35795975,0.0026409891
grad_cam,0.2,0.9124947,0.007835724,0.89445776,0.0018750746,0.18077359,0.0007952136,0.06820979,0.0015216756
grad_cam,0.3,0.9124947,0.007835724,0.8847393,0.0018601344,0.591774,0.0029130864,0.03512631,0.0011783339
grad_cam,0.4,0.9124947,0.007835724,0.89439577,0.0018746367,0.725109,0.0026095193,0.03352207,0.0011174382
grad_cam,0.5,0.9124947,0.007835724,0.90799004,0.001610562,0.7681692,0.0029742087,0.03352207,0.0011174382
grad_cam_pp,0.1,0.9124947,0.007835724,0.09019106,0.0010789433,0.89592886,0.0014196795,0.90170395,0.0013876534
grad_cam_pp,0.2,0.9124947,0.007835724,0.67729783,0.0031014786,0.39795908,0.0017335158,0.6444727,0.0028855973
grad_cam_pp,0.3,0.9124947,0.007835724,0.8927243,0.0017545548,0.18419942,0.0005783071,0.16328312,0.0017373783
grad_cam_pp,0.4,0.9124947,0.007835724,0.89902633,0.0017974806,0.26033968,0.0019663512,0.03799811,0.0011307235
grad_cam_pp,0.5,0.9124947,0.007835724,0.8926358,0.0018854536,0.62156653,0.002451594,0.033525717,0.0011169326
score_cam,0.1,0.9124947,0.007835724,0.1188369,0.0024170848,0.9044492,0.001421816,0.9041157,0.0014104836
score_cam,0.2,0.9124947,0.007835724,0.032426596,0.00028882537,0.8985075,0.0013535157,0.90501225,0.0013796336
score_cam,0.3,0.9124947,0.007835724,0.039928183,0.0006607986,0.8693021,0.0014458833,0.8898698,0.0013840134
score_cam,0.4,0.9124947,0.007835724,0.19704749,0.0016471564,0.6166737,0.0019162028,0.757955,0.0019834295
score_cam,0.5,0.9124947,0.007835724,0.5354841,0.0029695372,0.23411466,0.0011441909,0.6154012,0.0026328969
x_grad_cam,0.1,0.9124947,0.007835724,0.7831236,0.0021871773,0.33940342,0.0014990276,0.46792662,0.0020572818
x_grad_cam,0.2,0.9124947,0.007835724,0.90322787,0.0017732702,0.18953079,0.00053662993,0.09827854,0.0020269307
x_grad_cam,0.3,0.9124947,0.007835724,0.8941932,0.0019012322,0.32689664,0.0032719537,0.03587349,0.0011844188
x_grad_cam,0.4,0.9124947,0.007835724,0.89087945,0.0019032421,0.6049585,0.0031953373,0.033650175,0.001116561
x_grad_cam,0.5,0.9124947,0.007835724,0.9018581,0.0017279093,0.7568208,0.001986797,0.03352207,0.0011174382
